laboratorio,cod_Barra,producto,exist_Caja,sist_Unid,valor_unid,valor_total
PENDIENTE RE,7702425547919,*HUGGIES ULTRATRIM E-4 X GRANDE 3X,0,0,"6,200",0
PENDIENTE RE,7702425537187,*HUGGIES ULTRATRIM ET. 2 X 30 GTS,30,0,"12,400",0
PENDIENTE RE,7702425541344,*HUGGIES ULTRATRIN MAXI PACK ETAPA,0,0,"12,400",0
PENDIENTE RE,7751493004602,*HUGGIES UNISEX UP&GO ETP XG/XXG *,0,0,"33,900",0
PENDIENTE RE,7501326052252,*HYZAAR 50/12.5 MG X 15TABLS,0,0,0,0
PENDIENTE RE,7501326052900,*HYZAAR FORTE 100/25 MG X,150,0,0,0
PENDIENTE RE,7702605101504,*IBUPROFENO 600 MG X 50 TABLS,0,0,0,0
PENDIENTE RE,7707177970039,*IBUPROFENO SUSP X 120 ML,0,0,0,0
PENDIENTE RE,7707182840051,*INSODEM X 10 TABLS,0,0,0,0
PENDIENTE RE,7702870100110,*INTIBON JABON INTIMO MUJER X  200,0,0,"13,400",0
PENDIENTE RE,7702870100455,*INTIBON JABON INTIMO MUJER X  200,0,0,0,0
PENDIENTE RE,7702870100127,*INTIBON JABON INTIMO NINAS X  200,0,0,"13,700",0
PENDIENTE RE,7702870100462,*INTIBON JABON INTIMO NINAS X  200,0,0,0,0
PENDIENTE RE,7702870100493,*INTIBON JABON INTIMO PRENATAL X,120,0,"8,100",0
PENDIENTE RE,7702870100509,*INTIBON JABON INTIMO SILVER X 120,0,0,"8,100",0
PENDIENTE RE,7702870101698,*INTIBON MUJER CALENDULA SOBRE *,700,0,"2,500",0
PENDIENTE RE,7702870101674,*INTIBON MUJER VINAG MANZA Y CALEN,0,0,"9,000",0
PENDIENTE RE,7703038064626,*IOFI (FUMARATO FERROSO X 30 TABLS,0,0,0,0
PENDIENTE RE,7707051500109,*IRBEPREX 150 MG X 15 TABLS,0,0,0,0
PENDIENTE RE,7707051500116,*IRBEPREX 300 MG X 15 TABLS,0,0,0,0
PENDIENTE RE,7707358420285,*ISEDRON SUSP X60 ML,0,0,"48,900",0
PENDIENTE RE,7703381002405,*ISODINE ESPUMA X 120 ML,0,0,"12,300",0
PENDIENTE RE,4048846011923,*ISODINEMINT LIMON CJA *  6 COMP,0,0,"9,000",0
PENDIENTE RE,4048846004543,*ISODINEMINT X 6 COMP,0,0,"7,700",0
PENDIENTE RE,7702277320159,*JABON LIQ SANITY P/SUAVE REPUE X,50,0,0,0
PENDIENTE RE,7702277157533,*JABON LIQUIDO AROMASENSE AQUA BAM,0,0,"14,000",0
PENDIENTE RE,7707358420209,*JOIN KIDS POLVO VAINILLA X400 GRM,0,0,"48,000",0
PENDIENTE RE,7706310000077,*KETOBIFAN CREMA X 15 GRS,0,0,"16,000",0
PENDIENTE RE,7706310000084,*KETOBIFAN SUSP X 30 ML,0,0,"20,500",0
PENDIENTE RE,7707210530657,*KIPIOX RINSE X 60 GRS + PEINE,0,0,0,0
PENDIENTE RE,7703153019105,*KLEAR TOS KIDS JBE X 120 M 1+1,0,0,0,0
PENDIENTE RE,7703153021023,*KLEAR TOS KIDS JBE X 120 ML,0,0,0,0
PENDIENTE RE,7703153020996,*KLEAR TOS X 10 CAPS,0,0,0,0
PENDIENTE RE,7702024020424,*KLIM 3+ X 1700 GRS,0,0,"47,000",0
PENDIENTE RE,7702024052951,*KLIM 3+ X 1700 GTS LONCHERA UNDAD,0,0,"39,000",0
PENDIENTE RE,7702024071358,*KLIM 3+ X 500 GR BOLSA  GTS MILO,10,0,"13,800",0
PENDIENTE RE,7702024007098,*KLIM 3+ X 900 GRS,0,0,"24,200",0
PENDIENTE RE,7702024042273,*KLIM 3+ X 900 GRS GTS NESQUIK,0,0,0,0
PENDIENTE RE,7709790751781,*LACTATO DE RINGER SLN HARTMAN *,500,0,"3,000",0
PENDIENTE RE,7707059700310,*LAMETEC 100 MG X 30 TABLS,0,0,0,0
PENDIENTE RE,7707059700280,*LAMETEC 25 MG X 30 TABLS,0,0,0,0
PENDIENTE RE,7707059700228,*LAMETEC 50 MG X 30 TABLS,0,0,0,0
PENDIENTE RE,7590019010181,*LAMISIL 250 MG X 14 COMP,0,0,"112,000",0
PENDIENTE RE,7501124813291,*LAMISIL DERMGEL X 15 GR,0,0,"22,500",0
PENDIENTE RE,7702678731752,*LAPIZ DELI DE CEJAS NEG EXP KA,0,0,"3,900",0
PENDIENTE RE,7702433326360,*LAPIZ DELI DE OJOS MORADO,0,0,"3,900",0
PENDIENTE RE,7702678526136,*LAPIZ DELI DE OJOS NEGRO KALOE,0,0,"4,800",0
PENDIENTE RE,7705922111041,*LAXACOL X 10 S/S,0,0,0,0
PENDIENTE RE,7703281000013,*LIDINOX 0.6% GOTAS X 5 ML,0,0,0,0
PENDIENTE RE,7707069776367,*LINAZA X 25 S/S,0,0,0,0
PENDIENTE RE,7703712032750,*LINCOMICINA 600 MG X 6 AMPS,0,0,0,0
PENDIENTE RE,7706440000688,*LIPOREX X 30 CAPS,0,0,0,0
PENDIENTE RE,7705922112086,*LORAMINE 10 MG X 10 TABLS,0,0,0,0
PENDIENTE RE,7705922114042,*LORAMINE R X 10 TABLS,0,0,0,0
PENDIENTE RE,7705922113069,*LORAMINE SUSP X 100 ML,0,0,0,0
PENDIENTE RE,7707200520170,*LORATADINA SUSP X 60 ML,0,0,0,0
PENDIENTE RE,7703712011403,*LORISTAT X 10 TABLS,0,0,0,0
PENDIENTE RE,7707019325225,",7*LOSARTAN 50 MG X 250 TAB",0,0,0,0
PENDIENTE RE,7703763190065,*LOSARTAN 50 MG+HIDRO12.5M CJA X,300,0,0,0
PENDIENTE RE,7795368002553,*LOUTEN T SOL/OFT X 2.5 ML,0,0,0,0
PENDIENTE RE,7707059800201,*LOVASTAN 20 MG X 10 TABLS,0,0,0,0
PENDIENTE RE,7705922119085,*LOVASTEROL 20 MG X 10 TABLS,0,0,0,0
PENDIENTE RE,7705922120081,*LOVASTEROL 20 MG X 20 TABLS,0,0,0,0
PENDIENTE RE,7703186029072,*LUVOX 100 MG * 30 TAB,0,0,"108,000",0
PENDIENTE RE,7707182840464,*MACROZIT SUSP X 15 ML,0,0,0,0
PENDIENTE RE,7730699000878,*MAILEN 5 MG X 10 TABS,0,0,0,0
PENDIENTE RE,7730699000885,*MAILEN SUSP X 50 ML,0,0,0,0
PENDIENTE RE,7702189054135,*MANI MOTO * 150 GR,0,0,"2,600",0
PENDIENTE RE,7702189056115,*MANI MOTO INFERNO *,420,0,"1,200",0
PENDIENTE RE,7500478026722,*MANI MOTO MEGAQUESO Y DORITOS *,150,0,"4,500",0
PENDIENTE RE,7861004505860,*MAXIPIME 2 GR AMP,0,0,0,0
PENDIENTE RE,7702635622123,*MEBUCAINA PAGUE 20 LLEVE 24 COMP,0,0,"23,500",0
PENDIENTE RE,7702635195535,*MEBUCAINA X 150 TABS,0,0,"163,000",0
PENDIENTE RE,7702635620426,*MEBUCAINA X 24 TAB,0,0,"31,200",0
PENDIENTE RE,7707270700991,*MEDINEX SUSP * 60 ML,0,0,0,0
PENDIENTE RE,7707040640045,*MEGACAL D VAINILLA X 260 GRS,0,0,0,0
PENDIENTE RE,7702118303105,*MENTICOL AMARILLO X 130 ML,0,0,"7,000",0
PENDIENTE RE,7702118303075,*MENTICOL AMARILLO X 250 ML,0,0,"10,500",0
